,,,,,,,,,,,,,,,,,,,,
,SQUID,F39-A,L40-B,,,,,,,,,,,,,,,,,
,1/Mf,32.9,33.17,,,,,,,,,,,,,,,,,
,1/Min,24.6,26.2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,TES,2407-MI-1-F,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Rf,1.00E+05,Ω,FLL フィードバック抵抗,,,,,,,,,,,,,,,,
,Rs,2.00E-02,Ω,シャント抵抗,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1/Mf,33.17,uA/Phi,1磁束量子あたりの電流値（変換係数）,,,,,,,,,,,,,,,,
,1/Min,26.2,uA/Phi,1磁束量子あたりの電流値（変換係数）,,,,,,,,,,,,,,,,
,Mf,0.03014772385,Phi0 / uA,,,,,,,,,,,,,,,,,
,Min,0.03816793893,Phi0 / uA,,,,,,,,,,,,,,,,,
,Mf/Min,0.7898703648,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,測定値,,,,,,,,,I-Vプロット用,,,R-Vプロット用,,,,R-I プロット用,,P-V プロット用,
,Ib [uA],Ib [A],SQUID out [V],Ites [A],Vtes [V],Rtes [Ω],Ptes [W],,,Vtes [V],Ites[A],,Vtes[V],Rtes[Ω],R ratio,,Ites[A],Rtes[Ω],Vtes [V],Ptes [W]
,6.20E+02,6.20E-04,1.70E-01,1.34E-06,1.24E-05,9.24E+00,1.66E-11,,,1.24E-05,1.34E-06,,1.24E-05,9.24E+00,0.953,,1.34E-06,9.24E+00,1.24E-05,1.66E-11
,6.15E+02,6.15E-04,1.68E-01,1.33E-06,1.23E-05,9.24E+00,1.63E-11,,,1.23E-05,1.33E-06,,1.23E-05,9.24E+00,0.953,,1.33E-06,9.24E+00,1.23E-05,1.63E-11
,6.10E+02,6.10E-04,1.67E-01,1.32E-06,1.22E-05,9.23E+00,1.61E-11,,,1.22E-05,1.32E-06,,1.22E-05,9.23E+00,0.952,,1.32E-06,9.23E+00,1.22E-05,1.61E-11
,6.05E+02,6.05E-04,1.66E-01,1.31E-06,1.21E-05,9.22E+00,1.58E-11,,,1.21E-05,1.31E-06,,1.21E-05,9.22E+00,0.951,,1.31E-06,9.22E+00,1.21E-05,1.58E-11
,6.00E+02,6.00E-04,1.65E-01,1.30E-06,1.20E-05,9.21E+00,1.56E-11,,,1.20E-05,1.30E-06,,1.20E-05,9.21E+00,0.950,,1.30E-06,9.21E+00,1.20E-05,1.56E-11
,5.95E+02,5.95E-04,1.64E-01,1.29E-06,1.19E-05,9.19E+00,1.53E-11,,,1.19E-05,1.29E-06,,1.19E-05,9.19E+00,0.948,,1.29E-06,9.19E+00,1.19E-05,1.53E-11
,5.90E+02,5.90E-04,1.62E-01,1.28E-06,1.18E-05,9.18E+00,1.51E-11,,,1.18E-05,1.28E-06,,1.18E-05,9.18E+00,0.947,,1.28E-06,9.18E+00,1.18E-05,1.51E-11
,5.85E+02,5.85E-04,1.61E-01,1.27E-06,1.17E-05,9.17E+00,1.49E-11,,,1.17E-05,1.27E-06,,1.17E-05,9.17E+00,0.946,,1.27E-06,9.17E+00,1.17E-05,1.49E-11
,5.80E+02,5.80E-04,1.60E-01,1.26E-06,1.16E-05,9.15E+00,1.46E-11,,,1.16E-05,1.26E-06,,1.16E-05,9.15E+00,0.944,,1.26E-06,9.15E+00,1.16E-05,1.46E-11
,5.75E+02,5.75E-04,1.59E-01,1.26E-06,1.15E-05,9.14E+00,1.44E-11,,,1.15E-05,1.26E-06,,1.15E-05,9.14E+00,0.942,,1.26E-06,9.14E+00,1.15E-05,1.44E-11
,5.70E+02,5.70E-04,1.58E-01,1.25E-06,1.14E-05,9.13E+00,1.42E-11,,,1.14E-05,1.25E-06,,1.14E-05,9.13E+00,0.942,,1.25E-06,9.13E+00,1.14E-05,1.42E-11
,5.65E+02,5.65E-04,1.57E-01,1.24E-06,1.13E-05,9.11E+00,1.40E-11,,,1.13E-05,1.24E-06,,1.13E-05,9.11E+00,0.940,,1.24E-06,9.11E+00,1.13E-05,1.40E-11
,5.60E+02,5.60E-04,1.55E-01,1.23E-06,1.12E-05,9.10E+00,1.37E-11,,,1.12E-05,1.23E-06,,1.12E-05,9.10E+00,0.939,,1.23E-06,9.10E+00,1.12E-05,1.37E-11
